 RH Kamptee  ,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Ante Natal Care Services ANC,dummy,Part A,Part A-dummy-Ante Natal Care Services ANC,RH,,,,,,,,,,,,
 RH Kamptee  ,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Ante Natal Care Services ANC,dummy,M1,M1-dummy-Ante Natal Care Services ANC,RH,,,,,,,,,,,,
 RH Kamptee  ,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Total number of pregnant women Registered for ANC  ,TOTAL,1.1,1.1-TOTAL-Total number of pregnant women Registered for ANC,RH,61.0,79.0,112.0,98.0,97.0,75.0,56.0,49.0,78.0,62.0,79.0,57.0
 RH Kamptee  ,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Of which Number registered within first trimester,TOTAL,1.1.1,1.1.1-TOTAL-Of which Number registered within first trimester,RH,29.0,44.0,92.0,24.0,38.0,41.0,21.0,49.0,38.0,24.0,43.0,42.0
 RH Kamptee  ,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,New women registered under JSY,TOTAL,1.2,1.2-TOTAL-New women registered under JSY,RH,38.0,38.0,79.0,58.0,56.0,53.0,44.0,38.0,56.0,36.0,59.0,41.0
 RH Kamptee  ,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Number of pregnant women received 3 ANC check ups,TOTAL,1.3,1.3-TOTAL-Number of pregnant women received 3 ANC check ups,RH,56.0,97.0,78.0,68.0,111.0,145.0,98.0,32.0,55.0,127.0,112.0,126.0
 RH Kamptee  ,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Number of pregnant women given,dummy,1.4,1.4-dummy-Number of pregnant women given,RH,,,,,,,,,,,,
 RH Kamptee  ,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,TT1,TOTAL,1.4.1,1.4.1-TOTAL-TT1,RH,49.0,72.0,87.0,82.0,81.0,52.0,47.0,45.0,58.0,49.0,72.0,47.0
 RH Kamptee  ,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,TT2 or Booster,TOTAL,1.4.2,1.4.2-TOTAL-TT2 or Booster,RH,57.0,46.0,208.0,71.0,96.0,97.0,58.0,96.0,185.0,87.0,52.0,226.0
 RH Kamptee  ,A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Total number of pregnant women given 100 IFA tablets,TOTAL,1.5,1.5-TOTAL-Total number of pregnant women given 100 IFA tablets,RH,42.0,41.0,112.0,32.0,35.0,40.0,31.0,25.0,30.0,43.0,46.0,32.0
