PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Ante Natal Care Services ANC,dummy,Part A,Part A-dummy-Ante Natal Care Services ANC,PHC,,,,,,,,,,,,
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Ante Natal Care Services ANC,dummy,M1,M1-dummy-Ante Natal Care Services ANC,PHC,,,,,,,,,,,,
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Total number of pregnant women Registered for ANC  ,TOTAL,1.1,1.1-TOTAL-Total number of pregnant women Registered for ANC,PHC,96.0,102.0,123.0,98.0,104.0,104.0,80.0,62.0,102.0,99.0,100.0,91.0
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Of which Number registered within first trimester,TOTAL,1.1.1,1.1.1-TOTAL-Of which Number registered within first trimester,PHC,67.0,69.0,76.0,76.0,65.0,68.0,63.0,44.0,71.0,69.0,74.0,57.0
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,New women registered under JSY,TOTAL,1.2,1.2-TOTAL-New women registered under JSY,PHC,31.0,24.0,24.0,29.0,26.0,30.0,21.0,15.0,27.0,24.0,31.0,26.0
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Number of pregnant women received 3 ANC check ups,TOTAL,1.3,1.3-TOTAL-Number of pregnant women received 3 ANC check ups,PHC,87.0,96.0,84.0,94.0,114.0,102.0,102.0,104.0,75.0,64.0,97.0,84.0
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Number of pregnant women given,dummy,1.4,1.4-dummy-Number of pregnant women given,PHC,,,,,,,,,,,,
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,TT1,TOTAL,1.4.1,1.4.1-TOTAL-TT1,PHC,93.0,97.0,114.0,93.0,101.0,101.0,62.0,41.0,78.0,94.0,95.0,57.0
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,TT2 or Booster,TOTAL,1.4.2,1.4.2-TOTAL-TT2 or Booster,PHC,86.0,67.0,87.0,78.0,61.0,83.0,70.0,75.0,72.0,71.0,78.0,65.0
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Total number of pregnant women given 100 IFA tablets,TOTAL,1.5,1.5-TOTAL-Total number of pregnant women given 100 IFA tablets,PHC,73.0,73.0,85.0,74.0,81.0,72.0,68.0,62.0,70.0,60.0,63.0,67.0
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Pregnant women with Hypertension (BP>140/90) ,dummy,1.6,1.6-dummy-Pregnant women with Hypertension (BP>140/90),PHC,,,,,,,,,,,,
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,New cases detected at institution,TOTAL,1.6.1,1.6.1-TOTAL-New cases detected at institution,PHC,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Number of Eclampsia cases managed during delivery,TOTAL,1.6.2,1.6.2-TOTAL-Number of Eclampsia cases managed during delivery,PHC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Pregnant women with Anaemia ,dummy,1.7,1.7-dummy-Pregnant women with Anaemia,PHC,,,,,,,,,,,,
PHC Gumthala(24X7),A-M1-,REPRODUCTIVE AND CHILD HEALTH,Ante Natal Care Services ANC,Number having Hb level<11 (tested cases),TOTAL,1.7.1,1.7.1-TOTAL-Number having Hb level<11 (tested cases),PHC,72.0,77.0,114.0,86.0,82.0,97.0,72.0,47.0,89.0,66.0,91.0,81.0
